model,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
hist_gradient_boosting,6432,479,2010,2024,2025,0.7849686847599165,0.7890295358649789,0.7791666666666667,0.7840670859538784,0.8306834030683403,0.7791666666666667,0.041666666666666664
random_forest,6432,479,2010,2024,2025,0.778705636743215,0.76171875,0.8125,0.7862903225806451,0.8435495118549512,0.775,0.0
neural_network_mlp,6432,479,2010,2024,2025,0.7661795407098121,0.756,0.7875,0.7714285714285715,0.828678521617852,0.7708333333333334,0.041666666666666664
extra_trees,6432,479,2010,2024,2025,0.7515657620041754,0.7354085603112841,0.7875,0.7605633802816901,0.8330718270571825,0.75,0.041666666666666664
logistic_regression,6432,479,2010,2024,2025,0.7432150313152401,0.8502994011976048,0.5916666666666667,0.6977886977886978,0.8114016736401675,0.7458333333333332,0.041666666666666664
