x,y,z,cluster,top10_probability,target,season,round,race_id,grand_prix,driver_id,driver_code,constructor_name,grid,final_position
2.0471035164475295,1.8200031794445959,1.669265001008783,6,0.06341212318822809,0,2010,1,2010_01,Bahrain Grand Prix,alguersuari,ALG,Toro Rosso,18,13
1.3620083870999995,1.9291282812591009,1.7514537467185718,6,0.12165678429088216,0,2010,1,2010_01,Bahrain Grand Prix,buemi,BUE,Toro Rosso,15,16
5.93550894560456,3.126925453600639,2.5149213828443777,6,0.002915889370030605,0,2010,1,2010_01,Bahrain Grand Prix,chandhok,CHA,HRT,24,24
4.83731209467056,2.623498895457991,2.3539636481207826,6,0.0072816337209972645,0,2010,1,2010_01,Bahrain Grand Prix,glock,GLO,Virgin,19,20
6.150370860835669,3.270708914497633,2.459772026874341,6,0.002368464068959688,0,2010,1,2010_01,Bahrain Grand Prix,kovalainen,KOV,Lotus,21,15
0.3787157468115736,2.7505930969180783,1.6013583828749283,6,0.45976258510485074,1,2010,1,2010_01,Bahrain Grand Prix,liuzzi,LIU,Force India,12,9
1.5541233533965082,2.5243389846561417,1.784666439213477,6,0.1252403403102541,0,2010,1,2010_01,Bahrain Grand Prix,rosa,DLR,Sauber,14,18
-1.3393341682308049,-0.07566320206271193,0.2159200853646563,7,0.7576622453696307,1,2010,2,2010_02,Australian Grand Prix,barrichello,BAR,Williams,8,8
4.854354595171297,1.1883186815344575,1.1646721267458817,2,0.005444356716589054,0,2010,2,2010_02,Australian Grand Prix,bruno_senna,SEN,HRT,21,20
0.6285362573748503,-0.10719056064353083,0.6643833856290802,3,0.2530141573710472,0,2010,2,2010_02,Australian Grand Prix,buemi,BUE,Toro Rosso,12,21
-2.275675382764053,0.5490830034580663,0.4036881062585101,7,0.8955231954456394,1,2010,2,2010_02,Australian Grand Prix,button,BUT,McLaren,4,1
6.959367180879957,2.004172199393717,2.2807942303142315,2,0.0014742075217524288,0,2010,2,2010_02,Australian Grand Prix,chandhok,CHA,HRT,22,14
6.959112119907212,2.089454329019854,1.7258204891962623,2,0.0008992528930878977,0,2010,2,2010_02,Australian Grand Prix,grassi,DIG,Virgin,24,16
-1.9036622198342035,0.28161316210092835,0.31580557738328535,7,0.7571212226798265,1,2010,2,2010_02,Australian Grand Prix,hamilton,HAM,McLaren,11,6
0.22118097206608556,0.1287201232315569,0.0337290829375701,4,0.20483257046663875,0,2010,2,2010_02,Australian Grand Prix,hulkenberg,HUL,Williams,15,22
-1.0815189607403133,0.6557321733494925,0.5739459765827102,4,0.7081612917221843,1,2010,2,2010_02,Australian Grand Prix,kubica,KUB,Renault,9,2
-0.5842217344391617,0.31534259186414015,0.3800685668628497,4,0.5673237193964773,1,2010,2,2010_02,Australian Grand Prix,liuzzi,LIU,Force India,13,7
-2.4239641316128684,0.4745371012433601,0.32503069346176844,7,0.8806346680402138,1,2010,2,2010_02,Australian Grand Prix,massa,MAS,Ferrari,5,3
-2.0245798431996165,0.7868254261079759,0.6094086967939427,7,0.866973504303829,1,2010,2,2010_02,Australian Grand Prix,michael_schumacher,MSC,Mercedes,7,10
-1.4403688344695045,0.2584886190827933,0.4652374162822596,7,0.7361895954416494,0,2010,2,2010_02,Australian Grand Prix,sutil,SUT,Force India,10,18
5.478649636939135,0.9042010052481473,0.9957970145122328,2,0.0031276421651063213,0,2010,2,2010_02,Australian Grand Prix,trulli,TRU,Lotus,20,24
-2.5942407853919196,0.6520686414663417,0.47705506820154747,7,0.9232754540371635,1,2010,2,2010_02,Australian Grand Prix,webber,WEB,Red Bull,2,9
0.12591226337128214,-0.6151312180721984,0.6150901547685992,4,0.319626561505692,1,2010,3,2010_03,Malaysian Grand Prix,alguersuari,ALG,Toro Rosso,14,9
-1.1572691005402838,-0.6127063830223352,0.4725025896714922,4,0.6849999922209771,0,2010,3,2010_03,Malaysian Grand Prix,barrichello,BAR,Williams,7,12
5.403654354647724,1.3433375807296648,1.1798484305587307,2,0.0041164455561016255,0,2010,3,2010_03,Malaysian Grand Prix,bruno_senna,SEN,HRT,23,16
5.747709159625823,1.212629074931522,1.8197764620445829,2,0.0031579948051832047,0,2010,3,2010_03,Malaysian Grand Prix,chandhok,CHA,HRT,22,15
4.81725693434076,0.9017340789652963,1.391673381177816,2,0.006709699370748611,0,2010,3,2010_03,Malaysian Grand Prix,glock,GLO,Virgin,16,23
