config_name,hidden_layer_sizes,activation,alpha,learning_rate_init,batch_size,n_iter,best_validation_score,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
mlp_128_64_small_lr,"(128, 64)",relu,0.002,0.0005,64,41,0.7979274611398963,6432,479,2010,2024,2025,0.7661795407098121,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.8234832635983264,0.7708333333333334,0.08333333333333333
mlp_80_40_tanh,"(80, 40)",tanh,0.002,0.0007,64,40,0.7803108808290156,6432,479,2010,2024,2025,0.7369519832985386,0.8433734939759037,0.5833333333333334,0.6896551724137931,0.8352859135285915,0.7666666666666666,0.041666666666666664
mlp_96_48_regularized,"(96, 48)",relu,0.003,0.0008,64,40,0.7709844559585493,6432,479,2010,2024,2025,0.7599164926931107,0.7777777777777778,0.7291666666666666,0.7526881720430108,0.8242503486750348,0.7625000000000001,0.041666666666666664
mlp_64_32_baseline,"(64, 32)",relu,0.001,0.001,64,37,0.7730569948186529,6432,479,2010,2024,2025,0.7599164926931107,0.7615062761506276,0.7583333333333333,0.7599164926931107,0.8290794979079499,0.7583333333333334,0.0
mlp_128_64_32_deep,"(128, 64, 32)",relu,0.004,0.0006,64,39,0.8082901554404145,6432,479,2010,2024,2025,0.7432150313152401,0.8342857142857143,0.6083333333333333,0.7036144578313253,0.8242852161785217,0.7583333333333334,0.041666666666666664
