model,train_rows,test_rows,test_season,position_mae_raw,position_rmse_raw,race_precision_at_10,all_rank_mae,actual_top10_rank_mae,predicted_top10_rank_mae,mean_spearman_by_race
neural_network_mlp_regressor,6432,479,2025,3.2016049475806265,4.337809388240011,0.7791666666666668,3.4076754385964914,2.6583333333333337,3.2083333333333335,0.6601608187134503
random_forest_regressor,6432,479,2025,3.4633942958233765,4.27407536585005,0.7583333333333334,3.315131578947368,2.4625,2.9958333333333336,0.6593045112781956
hist_gradient_boosting_regressor,6432,479,2025,3.2539292400425204,4.275980430325377,0.7583333333333333,3.4232456140350878,2.6541666666666663,3.170833333333334,0.6515768588137009
