race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2018_04,bottas,3,92.582,87.019,4.150982132780944,5.0,57.0
2018_04,grosjean,3,93.63466666666666,88.805,3.5912133820695646,11.333333333333334,45.333333333333336
2018_04,max_verstappen,3,,86.88,4.663000000000004,3.5,39.0
2018_04,ricciardo,3,,85.945,4.920000000000002,1.0,38.333333333333336
2018_04,hulkenberg,3,92.87633333333333,87.081,4.196416354727234,7.666666666666667,57.0
2018_04,ocon,3,93.54266666666666,87.6,4.37037804111066,11.333333333333334,56.666666666666664
2018_04,sirotkin,3,95.08333333333333,92.57300000000001,2.5755051715903945,13.666666666666666,38.666666666666664
2018_05,hamilton,3,98.74766666666669,93.953,4.861337973119016,2.6666666666666665,54.666666666666664
2018_05,bottas,3,98.62533333333333,93.74000000000001,4.799612646407576,2.6666666666666665,53.666666666666664
2018_05,max_verstappen,3,,,4.782499999999999,3.5,32.666666666666664
2018_05,vettel,3,99.154,94.453,4.674697922504369,6.666666666666667,54.666666666666664
2018_05,ricciardo,3,,,4.817,2.0,32.0
2018_05,kevin_magnussen,3,100.21133333333334,94.327,5.830039241339252,11.666666666666666,54.666666666666664
2018_05,sainz,3,100.04833333333333,95.535,4.898246919959107,12.666666666666666,54.333333333333336
2018_05,alonso,3,99.617,94.168,5.677749378054648,7.666666666666667,54.333333333333336
2018_05,perez,3,99.71499999999999,95.26599999999999,4.69384156812591,11.0,54.333333333333336
2018_05,leclerc,3,100.42866666666664,95.075,5.161706199396557,14.666666666666666,54.333333333333336
2018_05,stroll,3,100.12433333333333,95.05799999999999,4.9352883288505955,12.666666666666666,54.333333333333336
2018_05,brendon_hartley,3,100.74233333333335,94.563,5.685892268491275,15.0,52.666666666666664
2018_05,ericsson,3,100.468,95.093,5.441574465783469,15.0,54.333333333333336
2018_05,sirotkin,3,,94.053,2.285499999999999,10.5,56.0
2018_05,vandoorne,3,100.31133333333332,95.131,5.343366624974266,14.0,54.333333333333336
2018_05,ocon,3,,95.043,1.4709999999999965,12.0,56.0
2018_05,raikkonen,3,99.10533333333335,94.337,5.315942960148793,5.333333333333333,47.333333333333336
2018_05,grosjean,3,99.65966666666667,94.689,5.224995715043432,9.333333333333334,51.333333333333336
2018_05,gasly,3,100.42166666666667,94.863,5.570256567001399,13.666666666666666,54.666666666666664
2018_05,hulkenberg,3,100.13833333333332,94.667,6.237930497279432,10.666666666666666,41.0
2018_06,ricciardo,3,93.21499999999999,78.441,11.162639950597109,1.6666666666666667,53.666666666666664
2018_06,vettel,3,94.04566666666666,79.128,11.04859672336517,5.0,57.666666666666664
2018_06,hamilton,3,93.80766666666666,79.133,10.945826307572931,3.0,57.666666666666664
2018_06,raikkonen,3,94.83666666666666,81.531,10.266992300030656,7.0,44.0
2018_06,bottas,3,93.87133333333334,79.47800000000001,10.709204587124518,4.0,56.666666666666664
2018_06,ocon,3,,82.117,7.9339999999999975,12.5,47.0
2018_06,gasly,3,,98.36699999999999,4.834000000000003,15.0,53.5
2018_06,hulkenberg,3,,96.881,5.992999999999995,11.5,33.0
2018_06,max_verstappen,3,93.79966666666667,79.422,10.890677368995723,3.6666666666666665,53.666666666666664
2018_06,sainz,3,95.31133333333332,81.324,10.56553268363166,9.666666666666666,57.333333333333336
2018_06,ericsson,3,96.266,82.487,10.492656511421057,15.0,57.0
