race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2018_04,leclerc,3,0,0.0,0.0,0.0,0,14.666666666666666,18.666666666666668,12,19,56.666666666666664,0
2018_04,alonso,3,3,1.0,22.0,7.333333333333333,3,6.333333333333333,12.0,5,7,56.666666666666664,0
2018_04,stroll,3,0,0.0,0.0,0.0,0,14.0,17.0,14,14,56.666666666666664,0
2018_04,vandoorne,3,2,0.6666666666666666,6.0,2.0,2,10.0,13.0,8,13,56.666666666666664,0
2018_04,brendon_hartley,3,0,0.0,0.0,0.0,0,17.333333333333332,14.0,15,20,54.666666666666664,1
2018_04,ericsson,3,1,0.3333333333333333,2.0,0.6666666666666666,1,14.666666666666666,18.0,9,19,39.0,1
2018_04,gasly,3,1,0.3333333333333333,12.0,4.0,1,13.333333333333334,14.0,4,18,42.0,1
2018_04,kevin_magnussen,3,2,0.6666666666666666,11.0,3.6666666666666665,2,10.666666666666666,7.333333333333333,5,17,45.0,1
2018_04,bottas,3,3,1.0,40.0,13.333333333333334,3,4.0,7.0,2,8,57.0,0
2018_04,grosjean,3,0,0.0,0.0,0.0,0,15.333333333333334,10.666666666666666,13,17,45.333333333333336,1
2018_04,max_verstappen,3,2,0.6666666666666666,18.0,6.0,2,10.0,8.0,5,19,39.0,1
2018_04,ricciardo,3,2,0.6666666666666666,37.0,12.333333333333334,2,8.333333333333334,6.0,1,20,38.333333333333336,1
2018_04,hulkenberg,3,3,1.0,22.0,7.333333333333333,3,6.333333333333333,7.0,6,7,57.0,0
2018_04,ocon,3,1,0.3333333333333333,1.0,0.3333333333333333,1,11.0,11.333333333333334,10,12,56.666666666666664,0
2018_04,sirotkin,3,0,0.0,0.0,0.0,0,16.666666666666668,17.666666666666668,15,20,38.666666666666664,1
2018_05,hamilton,4,4,1.0,70.0,17.5,4,2.5,4.0,1,4,55.5,0
2018_05,bottas,4,3,0.75,40.0,10.0,3,6.5,6.0,2,14,54.75,1
2018_05,max_verstappen,4,2,0.5,18.0,4.5,2,11.5,7.25,5,19,39.0,2
2018_05,vettel,4,4,1.0,66.0,16.5,4,3.5,1.5,1,8,55.5,0
2018_05,ricciardo,4,2,0.5,37.0,9.25,2,10.5,5.5,1,20,38.5,2
2018_05,kevin_magnussen,4,2,0.5,11.0,2.75,2,11.25,9.25,5,17,46.5,1
2018_05,sainz,4,3,0.75,13.0,3.25,3,8.75,9.25,5,11,55.25,0
2018_05,alonso,4,4,1.0,28.0,7.0,4,6.5,12.0,5,7,55.25,0
2018_05,perez,4,1,0.25,15.0,3.75,1,10.5,10.0,3,16,55.25,0
2018_05,leclerc,4,1,0.25,8.0,2.0,1,12.5,17.25,6,19,55.25,0
2018_05,stroll,4,1,0.25,4.0,1.0,1,12.5,15.25,8,14,55.25,0
2018_05,brendon_hartley,4,1,0.25,1.0,0.25,1,15.5,15.25,10,20,53.75,1
2018_05,ericsson,4,1,0.25,2.0,0.5,1,13.75,18.0,9,19,42.0,1
2018_05,sirotkin,4,0,0.0,0.0,0.0,0,17.5,16.0,15,20,29.0,2
2018_05,vandoorne,4,3,0.75,8.0,2.0,3,9.75,13.75,8,13,55.25,0
2018_05,ocon,4,1,0.25,1.0,0.25,1,13.0,10.25,10,19,42.5,1
2018_05,raikkonen,4,3,0.75,48.0,12.0,3,6.5,3.0,2,18,50.0,1
2018_05,grosjean,4,0,0.0,0.0,0.0,0,15.25,13.0,13,17,44.5,2
2018_05,gasly,4,1,0.25,12.0,3.0,1,13.0,14.75,4,18,44.25,1
2018_05,hulkenberg,4,3,0.75,22.0,5.5,3,9.25,8.75,6,18,45.25,1
