race_id,driver_id,telemetry_races_previous_3,avg_speed_previous_3_races,max_speed_previous_3_races,avg_throttle_previous_3_races,avg_brake_previous_3_races,avg_drs_previous_3_races,drs_usage_rate_previous_3_races,avg_distance_previous_3_races
2018_04,bottas,3,209.85333333333332,219.386,0.0,0.0,0.0,0.0,57.0
2018_04,grosjean,3,207.3953333333333,214.974,0.0,0.0,0.0,0.0,45.333333333333336
2018_04,max_verstappen,2,211.8555,219.737,0.0,0.0,0.0,0.0,39.0
2018_04,ricciardo,2,213.4995,222.128,0.0,0.0,0.0,0.0,38.333333333333336
2018_04,hulkenberg,3,209.19666666666663,219.23,0.0,0.0,0.0,0.0,57.0
2018_04,ocon,3,207.73166666666665,217.931,0.0,0.0,0.0,0.0,56.666666666666664
2018_04,sirotkin,3,204.11599999999999,207.151,0.0,0.0,0.0,0.0,38.666666666666664
2018_05,hamilton,3,204.98066666666668,207.371,0.0,0.0,0.0,0.0,54.666666666666664
2018_05,bottas,3,205.23299999999998,207.842,0.0,0.0,0.0,0.0,53.666666666666664
2018_05,max_verstappen,2,204.14499999999998,204.316,0.0,0.0,0.0,0.0,32.666666666666664
2018_05,vettel,3,204.12266666666667,206.274,0.0,0.0,0.0,0.0,54.666666666666664
2018_05,ricciardo,2,204.935,204.999,0.0,0.0,0.0,0.0,32.0
2018_05,kevin_magnussen,3,202.09733333333335,206.549,0.0,0.0,0.0,0.0,54.666666666666664
2018_05,sainz,3,202.30766666666668,203.937,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,alonso,3,203.28066666666666,206.898,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,perez,3,202.968,204.513,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,leclerc,3,201.57966666666667,204.924,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,stroll,3,202.168,204.961,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,brendon_hartley,3,201.023,206.034,0.0,0.0,0.0,0.0,52.666666666666664
2018_05,ericsson,3,201.52633333333335,204.885,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,sirotkin,2,203.062,207.151,0.0,0.0,0.0,0.0,56.0
2018_05,vandoorne,3,201.828,204.803,0.0,0.0,0.0,0.0,54.333333333333336
2018_05,ocon,2,202.632,204.993,0.0,0.0,0.0,0.0,56.0
2018_05,raikkonen,3,204.28233333333333,206.527,0.0,0.0,0.0,0.0,47.333333333333336
2018_05,grosjean,3,203.136,205.759,0.0,0.0,0.0,0.0,51.333333333333336
2018_05,gasly,3,201.63666666666666,205.382,0.0,0.0,0.0,0.0,54.666666666666664
2018_05,hulkenberg,3,202.28866666666667,205.807,0.0,0.0,0.0,0.0,41.0
2018_06,ricciardo,3,207.836,213.638,0.0,0.0,0.0,0.0,53.666666666666664
2018_06,vettel,3,205.95899999999997,211.783,0.0,0.0,0.0,0.0,57.666666666666664
2018_06,hamilton,3,206.447,211.77,0.0,0.0,0.0,0.0,57.666666666666664
2018_06,raikkonen,3,203.95366666666666,205.541,0.0,0.0,0.0,0.0,44.0
2018_06,bottas,3,206.23566666666667,210.85,0.0,0.0,0.0,0.0,56.666666666666664
2018_06,ocon,2,202.1725,204.074,0.0,0.0,0.0,0.0,47.0
2018_06,gasly,2,199.764,200.035,0.0,0.0,0.0,0.0,53.5
2018_06,hulkenberg,2,200.52949999999998,202.553,0.0,0.0,0.0,0.0,33.0
2018_06,max_verstappen,3,206.42966666666666,210.999,0.0,0.0,0.0,0.0,53.666666666666664
2018_06,sainz,3,203.01666666666665,206.064,0.0,0.0,0.0,0.0,57.333333333333336
2018_06,ericsson,3,200.95100000000002,203.159,0.0,0.0,0.0,0.0,57.0
2018_06,perez,3,203.65099999999998,206.562,0.0,0.0,0.0,0.0,57.0
2018_06,kevin_magnussen,3,202.85833333333335,208.832,0.0,0.0,0.0,0.0,57.333333333333336
2018_06,vandoorne,3,201.19233333333332,202.896,0.0,0.0,0.0,0.0,50.666666666666664
2018_06,grosjean,2,201.8245,202.196,0.0,0.0,0.0,0.0,49.0
2018_06,sirotkin,2,200.829,202.685,0.0,0.0,0.0,0.0,59.5
2018_06,stroll,3,201.89066666666668,204.129,0.0,0.0,0.0,0.0,57.0
2018_06,leclerc,3,201.29233333333332,204.062,0.0,0.0,0.0,0.0,57.0
2018_06,brendon_hartley,3,200.936,205.773,0.0,0.0,0.0,0.0,55.333333333333336
2018_06,alonso,3,203.51066666666668,207.588,0.0,0.0,0.0,0.0,57.333333333333336
2018_07,vettel,3,191.49966666666668,211.783,0.0,0.0,0.0,0.0,65.0
2018_07,bottas,3,191.26566666666668,210.85,0.0,0.0,0.0,0.0,64.0
2018_07,max_verstappen,3,192.36233333333334,210.999,0.0,0.0,0.0,0.0,61.0
2018_07,ricciardo,3,192.54033333333334,213.638,0.0,0.0,0.0,0.0,61.0
