race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2018_01,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_01,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_02,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_03,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_04,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_05,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_06,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,hulkenberg,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,sainz,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,ocon,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,leclerc,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,gasly,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,grosjean,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,perez,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,ericsson,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,vandoorne,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,sirotkin,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,brendon_hartley,0,0.0,0.0,0.0,0,0.0,0.0
2018_07,stroll,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,max_verstappen,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,raikkonen,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,kevin_magnussen,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,bottas,0,0.0,0.0,0.0,0,0.0,0.0
2018_08,sainz,0,0.0,0.0,0.0,0,0.0,0.0
