race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2018_08,max_verstappen,6,50.0,0,50.0
2018_08,raikkonen,5,68.0,0,68.0
2018_08,ricciardo,4,84.0,2,104.0
2018_08,vettel,1,121.0,3,151.0
2018_08,kevin_magnussen,10,19.0,0,19.0
2018_08,bottas,3,86.0,0,86.0
2018_08,sainz,9,24.0,0,24.0
2018_08,hulkenberg,8,32.0,0,32.0
2018_08,leclerc,14,10.0,0,10.0
2018_08,grosjean,19,0.0,0,0.0
2018_08,vandoorne,15,8.0,0,8.0
2018_08,ericsson,17,2.0,0,2.0
2018_08,brendon_hartley,18,1.0,0,1.0
2018_08,sirotkin,20,0.0,0,0.0
2018_08,alonso,7,32.0,0,32.0
2018_08,stroll,16,4.0,0,4.0
2018_08,perez,12,17.0,0,17.0
2018_08,ocon,13,11.0,0,11.0
2018_08,gasly,11,18.0,0,18.0
2018_09,max_verstappen,6,68.0,0,68.0
2018_09,raikkonen,5,83.0,0,83.0
2018_09,vettel,2,131.0,3,161.0
2018_09,grosjean,19,0.0,0,0.0
2018_09,kevin_magnussen,10,27.0,0,27.0
2018_09,ocon,14,11.0,0,11.0
2018_09,perez,12,17.0,0,17.0
2018_09,alonso,8,32.0,0,32.0
2018_09,leclerc,13,11.0,0,11.0
2018_09,ericsson,17,2.0,0,2.0
2018_09,gasly,11,18.0,0,18.0
2018_09,sainz,9,28.0,0,28.0
2018_09,sirotkin,20,0.0,0,0.0
2018_09,stroll,16,4.0,0,4.0
2018_09,vandoorne,15,8.0,0,8.0
2018_09,hamilton,1,145.0,3,175.0
2018_09,brendon_hartley,18,1.0,0,1.0
2018_09,ricciardo,3,96.0,2,116.0
2018_09,bottas,4,92.0,0,92.0
2018_09,hulkenberg,7,34.0,0,34.0
2018_10,vettel,1,146.0,3,176.0
2018_10,hamilton,2,145.0,3,175.0
2018_10,raikkonen,3,101.0,0,101.0
2018_10,bottas,6,92.0,0,92.0
2018_10,ricciardo,4,96.0,2,116.0
2018_10,hulkenberg,9,34.0,0,34.0
2018_10,ocon,12,19.0,0,19.0
2018_10,alonso,8,36.0,0,36.0
2018_10,kevin_magnussen,7,37.0,0,37.0
2018_10,perez,11,23.0,0,23.0
2018_10,vandoorne,16,8.0,0,8.0
2018_10,stroll,17,4.0,0,4.0
2018_10,gasly,13,18.0,0,18.0
2018_10,sirotkin,20,0.0,0,0.0
2018_10,max_verstappen,5,93.0,1,103.0
2018_10,grosjean,15,12.0,0,12.0
2018_10,sainz,10,28.0,0,28.0
2018_10,ericsson,18,3.0,0,3.0
2018_10,leclerc,14,13.0,0,13.0
2018_10,brendon_hartley,19,1.0,0,1.0
2018_11,hamilton,2,163.0,3,193.0
2018_11,bottas,5,104.0,0,104.0
2018_11,raikkonen,3,116.0,0,116.0
2018_11,max_verstappen,6,93.0,1,103.0
2018_11,hulkenberg,7,42.0,0,42.0
2018_11,grosjean,15,12.0,0,12.0
2018_11,perez,12,24.0,0,24.0
2018_11,ocon,11,25.0,0,25.0
2018_11,ericsson,18,3.0,0,3.0
2018_11,brendon_hartley,19,1.0,0,1.0
2018_11,kevin_magnussen,9,39.0,0,39.0
2018_11,sainz,10,28.0,0,28.0
2018_11,vandoorne,16,8.0,0,8.0
2018_11,gasly,13,18.0,0,18.0
2018_11,leclerc,14,13.0,0,13.0
2018_11,alonso,8,40.0,0,40.0
2018_11,stroll,17,4.0,0,4.0
2018_11,vettel,1,171.0,4,211.0
2018_11,sirotkin,20,0.0,0,0.0
2018_11,ricciardo,4,106.0,2,126.0
2018_12,hamilton,1,188.0,4,228.0
2018_12,vettel,2,171.0,4,211.0
2018_12,raikkonen,3,131.0,0,131.0
2018_12,ricciardo,5,106.0,2,126.0
2018_12,bottas,4,122.0,0,122.0
2018_12,gasly,14,18.0,0,18.0
2018_12,kevin_magnussen,9,39.0,0,39.0
2018_12,alonso,8,40.0,0,40.0
2018_12,sainz,12,28.0,0,28.0
2018_12,grosjean,13,20.0,0,20.0
2018_12,brendon_hartley,19,2.0,0,2.0
2018_12,hulkenberg,7,52.0,0,52.0
2018_12,ocon,11,29.0,0,29.0
2018_12,perez,10,30.0,0,30.0
2018_12,ericsson,17,5.0,0,5.0
2018_12,sirotkin,20,0.0,0,0.0
2018_12,stroll,18,4.0,0,4.0
2018_12,vandoorne,16,8.0,0,8.0
2018_12,max_verstappen,6,105.0,1,115.0
2018_12,leclerc,15,13.0,0,13.0
2018_13,vettel,2,189.0,4,229.0
2018_13,hamilton,1,213.0,5,263.0
2018_13,max_verstappen,6,105.0,1,115.0
2018_13,bottas,4,132.0,0,132.0
2018_13,perez,10,30.0,0,30.0
2018_13,ocon,12,29.0,0,29.0
2018_13,grosjean,14,21.0,0,21.0
2018_13,kevin_magnussen,8,45.0,0,45.0
2018_13,gasly,13,26.0,0,26.0
2018_13,ericsson,17,5.0,0,5.0
2018_13,sainz,11,30.0,0,30.0
2018_13,sirotkin,20,0.0,0,0.0
2018_13,stroll,18,4.0,0,4.0
2018_13,brendon_hartley,19,2.0,0,2.0
2018_13,vandoorne,16,8.0,0,8.0
2018_13,ricciardo,5,118.0,2,138.0
2018_13,raikkonen,3,146.0,0,146.0
2018_13,leclerc,15,13.0,0,13.0
2018_13,alonso,9,44.0,0,44.0
2018_13,hulkenberg,7,52.0,0,52.0
2018_14,hamilton,1,231.0,5,281.0
2018_14,raikkonen,3,146.0,0,146.0
2018_14,bottas,4,144.0,0,144.0
2018_14,vettel,2,214.0,5,264.0
2018_14,max_verstappen,5,120.0,1,130.0
2018_14,ocon,11,37.0,0,37.0
2018_14,perez,10,40.0,0,40.0
2018_14,sainz,12,30.0,0,30.0
2018_14,stroll,18,4.0,0,4.0
2018_14,sirotkin,20,0.0,0,0.0
2018_14,leclerc,15,13.0,0,13.0
2018_14,vandoorne,16,8.0,0,8.0
2018_14,hulkenberg,7,52.0,0,52.0
2018_14,gasly,13,28.0,0,28.0
2018_14,ericsson,17,6.0,0,6.0
2018_14,kevin_magnussen,8,49.0,0,49.0
2018_14,ricciardo,6,118.0,2,138.0
2018_14,alonso,9,44.0,0,44.0
2018_14,brendon_hartley,19,2.0,0,2.0
2018_14,grosjean,14,27.0,0,27.0
2018_15,hamilton,1,256.0,6,316.0
2018_15,max_verstappen,5,130.0,1,140.0
2018_15,vettel,2,226.0,5,276.0
2018_15,bottas,4,159.0,0,159.0
2018_15,raikkonen,3,164.0,0,164.0
2018_15,ricciardo,6,118.0,2,138.0
2018_15,alonso,11,44.0,0,44.0
2018_15,sainz,12,34.0,0,34.0
2018_15,leclerc,15,13.0,0,13.0
2018_15,hulkenberg,7,52.0,0,52.0
2018_15,ericsson,17,6.0,0,6.0
2018_15,vandoorne,16,8.0,0,8.0
2018_15,gasly,13,28.0,0,28.0
2018_15,stroll,18,6.0,0,6.0
2018_15,grosjean,14,27.0,0,27.0
2018_15,perez,9,46.0,0,46.0
