race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2018_15,williams,10,7.0,0,7.0
2018_15,haas,6,76.0,0,76.0
2018_15,force_india,4,91.0,0,91.0
2018_16,mercedes,1,452.0,7,522.0
2018_16,ferrari,2,415.0,5,465.0
2018_16,red_bull,3,274.0,3,304.0
2018_16,sauber,9,21.0,0,21.0
2018_16,haas,6,76.0,0,76.0
2018_16,force_india,4,91.0,0,91.0
2018_16,renault,5,91.0,0,91.0
2018_16,mclaren,7,58.0,0,58.0
2018_16,williams,10,7.0,0,7.0
2018_16,toro_rosso,8,30.0,0,30.0
2018_17,mercedes,1,495.0,8,575.0
2018_17,red_bull,3,292.0,3,322.0
2018_17,ferrari,2,442.0,5,492.0
2018_17,force_india,4,94.0,0,94.0
2018_17,haas,6,80.0,0,80.0
2018_17,renault,5,91.0,0,91.0
2018_17,toro_rosso,8,30.0,0,30.0
2018_17,sauber,9,27.0,0,27.0
2018_17,mclaren,7,58.0,0,58.0
2018_17,williams,10,7.0,0,7.0
2018_18,ferrari,2,460.0,5,510.0
2018_18,red_bull,3,319.0,3,349.0
2018_18,mercedes,1,538.0,9,628.0
2018_18,renault,5,92.0,0,92.0
2018_18,force_india,4,102.0,0,102.0
2018_18,toro_rosso,8,30.0,0,30.0
2018_18,sauber,9,27.0,0,27.0
2018_18,mclaren,7,58.0,0,58.0
2018_18,williams,10,7.0,0,7.0
2018_18,haas,6,84.0,0,84.0
2018_19,red_bull,3,337.0,3,367.0
2018_19,ferrari,2,497.0,6,557.0
2018_19,mercedes,1,563.0,9,653.0
2018_19,renault,5,106.0,0,106.0
2018_19,sauber,9,28.0,0,28.0
2018_19,mclaren,7,58.0,0,58.0
2018_19,toro_rosso,8,32.0,0,32.0
2018_19,force_india,4,106.0,0,106.0
2018_19,williams,10,7.0,0,7.0
2018_19,haas,6,84.0,0,84.0
2018_20,mercedes,1,585.0,9,675.0
2018_20,red_bull,3,362.0,4,402.0
2018_20,ferrari,2,530.0,6,590.0
2018_20,sauber,8,36.0,0,36.0
2018_20,haas,6,84.0,0,84.0
2018_20,force_india,5,106.0,0,106.0
2018_20,toro_rosso,9,33.0,0,33.0
2018_20,renault,4,114.0,0,114.0
2018_20,mclaren,7,62.0,0,62.0
2018_20,williams,10,7.0,0,7.0
2018_21,mercedes,1,620.0,10,720.0
2018_21,ferrari,2,553.0,6,613.0
2018_21,red_bull,3,392.0,4,432.0
2018_21,renault,4,114.0,0,114.0
2018_21,sauber,8,42.0,0,42.0
2018_21,force_india,5,107.0,0,107.0
2018_21,haas,6,90.0,0,90.0
2018_21,mclaren,7,62.0,0,62.0
2018_21,toro_rosso,9,33.0,0,33.0
2018_21,williams,10,7.0,0,7.0
2019_01,mercedes,0,0.0,0,0.0
2019_01,red_bull,0,0.0,0,0.0
2019_01,ferrari,0,0.0,0,0.0
2019_01,haas,0,0.0,0,0.0
2019_01,renault,0,0.0,0,0.0
2019_01,alfa,0,0.0,0,0.0
2019_01,racing_point,0,0.0,0,0.0
2019_01,toro_rosso,0,0.0,0,0.0
2019_01,mclaren,0,0.0,0,0.0
2019_01,williams,0,0.0,0,0.0
2019_02,mercedes,1,44.0,1,54.0
2019_02,ferrari,2,22.0,0,22.0
2019_02,red_bull,3,15.0,0,15.0
2019_02,mclaren,9,0.0,0,0.0
2019_02,alfa,6,4.0,0,4.0
2019_02,toro_rosso,8,1.0,0,1.0
2019_02,racing_point,7,2.0,0,2.0
2019_02,haas,4,8.0,0,8.0
2019_02,williams,10,0.0,0,0.0
2019_02,renault,5,6.0,0,6.0
2019_03,mercedes,1,87.0,2,107.0
2019_03,ferrari,2,48.0,0,48.0
2019_03,red_bull,3,31.0,0,31.0
2019_03,renault,7,6.0,0,6.0
2019_03,racing_point,8,3.0,0,3.0
2019_03,alfa,4,10.0,0,10.0
2019_03,toro_rosso,9,3.0,0,3.0
2019_03,haas,5,8.0,0,8.0
2019_03,mclaren,6,8.0,0,8.0
2019_03,williams,10,0.0,0,0.0
2019_04,mercedes,1,130.0,3,160.0
2019_04,ferrari,2,73.0,0,73.0
2019_04,red_bull,3,52.0,0,52.0
2019_04,racing_point,8,7.0,0,7.0
2019_04,mclaren,7,8.0,0,8.0
2019_04,alfa,4,12.0,0,12.0
2019_04,toro_rosso,9,4.0,0,4.0
2019_04,haas,6,8.0,0,8.0
2019_04,renault,5,12.0,0,12.0
2019_04,williams,10,0.0,0,0.0
2019_05,mercedes,1,173.0,4,213.0
2019_05,red_bull,3,64.0,0,64.0
2019_05,ferrari,2,99.0,0,99.0
2019_05,haas,8,8.0,0,8.0
2019_05,mclaren,4,18.0,0,18.0
2019_05,toro_rosso,9,4.0,0,4.0
2019_05,renault,7,12.0,0,12.0
2019_05,alfa,6,13.0,0,13.0
2019_05,racing_point,5,17.0,0,17.0
2019_05,williams,10,0.0,0,0.0
2019_06,mercedes,1,217.0,5,267.0
2019_06,ferrari,2,121.0,0,121.0
2019_06,red_bull,3,87.0,0,87.0
2019_06,mclaren,4,22.0,0,22.0
